dataset,seed,user_id,statement_id,x_normalised,y_normalised
rai,7,E_coords,165,0.783642880417074,0.48250728862973763
rai,1,G_coords,852,0.8519690576652602,0.3324987481221833
rai,8,H_coords,162,0.7174054758800521,0.2645161290322581
rai,28,H_coords,37,0.37329876863253403,0.36337488015340363
rai,1,G_coords,856,0.16631504922644164,0.5087631447170756
welfare,7,G_coords,927,0.543344709897611,0.08757062146892655
rai,16,B_coords,600,0.38268864933417884,0.6442173711100789
rai,9,H_coords,442,0.7559681697612732,0.6224202626641651
rai,14,B_coords,743,0.2897632544181394,0.2521606507371632
rai,1,G_coords,232,0.7689873417721519,0.7841762643965949
rai,17,A_coords,730,0.5426382411725517,0.35770476631189263
rai,7,E_coords,84,0.04268491365265559,0.5476190476190477
rai,24,G_coords,418,0.8364453665283541,0.2775351770984959
welfare,9,G_coords,1195,0.7127092846270928,0.20729166666666668
rai,25,D_coords,50,0.8054775280898876,0.8467866323907455
rai,7,A_coords,50,0.94496,0.7336448598130841
rai,7,A_coords,443,0.27744,0.14299065420560747
rai,18,B_coords,492,0.31313442017840665,0.2006172839506173
rai,13,B_coords,173,0.3515494835054982,0.44808743169398907
rai,29,E_coords,151,0.4476607202961966,0.2877520905066404
welfare,27,A_coords,981,0.12222222222222222,0.2535496957403651
rai,15,G_coords,748,0.8125798212005109,0.35951940850277264
rai,8,H_coords,76,0.5061929595827901,0.6474654377880185
rai,8,G_coords,1145,0.8177355016876342,0.7195767195767195
rai,24,D_coords,391,0.6906927921623512,0.46277665995975853
welfare,5,E_coords,1178,0.8672452587592414,0.41634615384615387
welfare,11,H_coords,898,0.3215445687477445,0.2206896551724138
rai,29,B_coords,187,0.42689141513132106,0.7647914645974782
welfare,11,H_coords,881,0.583182966438109,0.3696551724137931
rai,6,G_coords,281,0.49174078780177893,0.25617283950617287
rai,6,G_coords,738,0.7636594663278272,0.33024691358024694
rai,29,B_coords,254,0.17404939239513917,0.3001939864209505
welfare,6,B_coords,912,0.5339641770868536,0.27672955974842767
welfare,4,A_coords,1101,0.4003322259136213,0.7540560471976401
rai,8,H_coords,16,0.8604954367666232,0.4152073732718894
welfare,8,D_coords,1118,0.12938093678349163,0.6752
rai,2,H_coords,280,0.6524953789279113,0.13696145124716552
rai,18,B_coords,187,0.7154721624115656,0.4964726631393298
rai,25,G_coords,207,0.3406356062943536,0.1979601298099212
welfare,6,E_coords,912,0.7793296089385475,0.4620811287477954
rai,9,B_coords,272,0.5817323896191439,0.053779807204464736
welfare,10,A_coords,1036,0.3057324840764331,0.4600669536107126
rai,13,G_coords,207,0.18585251918585252,0.7866273352999017
welfare,27,A_coords,1224,0.3263888888888889,0.0973630831643002
rai,16,G_coords,718,0.8805874840357599,0.2966728280961183
rai,7,E_coords,192,0.49071358748778104,0.956754130223518
welfare,2,E_coords,1191,0.6043421905379132,0.7100534239922293
welfare,8,D_coords,929,0.2332132328856862,0.10506666666666667
rai,29,E_coords,603,0.30663076405250755,0.2926709296606001
rai,21,D_coords,204,0.7709128774730997,0.5673277661795407
rai,0,D_coords,373,0.4170922710248553,0.5302183849669884
rai,21,G_coords,328,0.7531960227272727,0.2744099953725127
rai,17,A_coords,695,0.6635576282478348,0.38870893105043963
rai,12,H_coords,642,0.9333750390991554,0.699294532627866
rai,9,H_coords,403,0.5013262599469496,0.1627579737335835
welfare,27,A_coords,1240,0.38229166666666664,0.9102434077079108
rai,23,A_coords,193,0.8767663489976997,0.6144109055501461
rai,2,A_coords,678,0.4513986013986014,0.646539027982327
rai,29,B_coords,204,0.555860446883575,0.28176527643064986
rai,5,D_coords,194,0.45970341715022567,0.4212505876821815
rai,25,G_coords,704,0.2659672940450478,0.31525266573945293
rai,23,A_coords,250,0.07295432139336182,0.34469328140214217
welfare,7,G_coords,918,0.5959044368600682,0.3248587570621469
rai,27,B_coords,626,0.2837225514116417,0.3780617678381257
rai,25,G_coords,138,0.19777846343721073,0.24432081594807603
rai,24,G_coords,62,0.367911479944675,0.21348859776807375
rai,3,E_coords,391,0.21252597209854557,0.4801587301587302
