dataset,seed,model,v_measure,adjusted_rand_index
gov-ai,5,text-embedding-ada-002,0.6824549073786168,0.3430480335853446
gov-ai,5,xlm-roberta-base,0.4234840573583021,-0.014966850133857186
gov-ai,5,xlm-roberta-large,0.47217446471396385,0.03714301617179752
gov-ai,8,EmbeddingGemma-Scandi-300m,0.6720450546418538,0.295789201756652
gov-ai,8,LaBSE,0.6072674453740148,0.18062111801242237
gov-ai,8,M2V_base_glove,0.5334815555197006,0.09823595938332638
gov-ai,8,M2V_base_glove_subword,0.5355133646839181,0.08845927266592682
gov-ai,8,M2V_base_output,0.5355133646839181,0.08845927266592682
gov-ai,8,Qwen3-Embedding-0.6B,0.5726372781988558,0.13285079580077985
gov-ai,8,Qwen3-Embedding-Scandi-0.6B,0.6053198329023562,0.20582415882235472
gov-ai,8,bge-m3,0.6419486101481062,0.21771906855179846
gov-ai,8,dfm-sentence-encoder-large,0.429592775082398,-0.00560209049255441
gov-ai,8,m2v-dfm-large,0.3654269033423083,-0.07893041237113402
gov-ai,8,mmBERTscandi-base-embedding,0.6852701068131699,0.3124411958435533
gov-ai,8,model2vecdk,0.4185735011840025,-0.01871243527032261
gov-ai,8,model2vecdk-stem,0.5031047675867952,0.07533290378006872
gov-ai,8,multilingual-e5-base,0.5965033575921257,0.1929165709627665
gov-ai,8,multilingual-e5-large,0.5756230599902108,0.15069074019536943
gov-ai,8,multilingual-e5-large-instruct,0.6642654513263404,0.2810456848295294
gov-ai,8,multilingual-e5-small,0.6447411050266468,0.21563976324763717
gov-ai,8,mxbai-embed-large-v1,0.6956027949204765,0.3454521295624355
gov-ai,8,nb-sbert-base,0.5609267051165026,0.13581729540437254
gov-ai,8,paraphrase-multilingual-MiniLM-L12-v2,0.6390231922935834,0.22868341924398625
gov-ai,8,paraphrase-multilingual-mpnet-base-v2,0.6751162012267282,0.2884806602551107
gov-ai,8,potion-base-2M,0.6173192855245977,0.20490683229813667
gov-ai,8,potion-base-4M,0.6083323349088587,0.20314552100741246
gov-ai,8,potion-base-8M,0.6593324110785113,0.2955255510014957
gov-ai,8,potion-multilingual-128M,0.5110875014768487,0.04546583850931678
gov-ai,8,snowflake-arctic-embed-l-v2.0,0.6720450546418538,0.295789201756652
gov-ai,8,static-similarity-mrl-multilingual-v1,0.5552714222110591,0.12362609712104763
gov-ai,8,text-embedding-3-large,0.6642654513263404,0.2810456848295294
gov-ai,8,text-embedding-3-small,0.6821262884811541,0.31472049689440995
gov-ai,8,text-embedding-ada-002,0.6482144296187966,0.26452012466666813
gov-ai,8,xlm-roberta-base,0.4807880689884665,0.051873798014449815
gov-ai,8,xlm-roberta-large,0.4770737206737601,0.029761175750153093
gov-ai,3,EmbeddingGemma-Scandi-300m,0.7025437083148217,0.31798245614035087
gov-ai,3,LaBSE,0.5777601565667523,0.048793859649122806
gov-ai,3,M2V_base_glove,0.5642025073411323,0.05831363278171789
gov-ai,3,M2V_base_glove_subword,0.5642025073411323,0.05831363278171789
gov-ai,3,M2V_base_output,0.5364934735642023,0.02503865099054399
gov-ai,3,Qwen3-Embedding-0.6B,0.5033013187095866,-0.008028455284552847
gov-ai,3,Qwen3-Embedding-Scandi-0.6B,0.5744843207452841,0.09007298745191097
gov-ai,3,bge-m3,0.5472972195317545,0.018307376983774146
gov-ai,3,dfm-sentence-encoder-large,0.6062969840566726,0.11492607094851266
gov-ai,3,m2v-dfm-large,0.6639414758683901,0.2219296385717966
gov-ai,3,mmBERTscandi-base-embedding,0.6378241530937787,0.17984547023512326
gov-ai,3,model2vecdk,0.5755501236052571,0.08896559162981339
gov-ai,3,model2vecdk-stem,0.5033013187095866,-0.008028455284552847
gov-ai,3,multilingual-e5-base,0.5607892720962349,0.03027779401164942
gov-ai,3,multilingual-e5-large,0.5463225823985418,0.020573570348888903
gov-ai,3,multilingual-e5-large-instruct,0.5743891794395783,0.058125351955332735
gov-ai,3,multilingual-e5-small,0.5463225823985418,0.020573570348888903
gov-ai,3,mxbai-embed-large-v1,0.6033398015999545,0.0956688596491228
gov-ai,3,nb-sbert-base,0.6342210774999615,0.15351723063136774
gov-ai,3,paraphrase-multilingual-MiniLM-L12-v2,0.6322905709266415,0.1584945356788031
gov-ai,3,paraphrase-multilingual-mpnet-base-v2,0.5512463087747601,0.004934210526315791
gov-ai,3,potion-base-2M,0.5734145423063659,0.06039154532044749
gov-ai,3,potion-base-4M,0.5734145423063659,0.06039154532044749
gov-ai,3,potion-base-8M,0.6103643224904516,0.14229368862867942
gov-ai,3,potion-multilingual-128M,0.7164485387613208,0.3403714565004888
gov-ai,3,snowflake-arctic-embed-l-v2.0,0.5607892720962347,0.03027779401164942
gov-ai,3,static-similarity-mrl-multilingual-v1,0.560206379968684,0.04959349593495935
gov-ai,3,text-embedding-3-large,0.5512463087747601,0.004934210526315791
gov-ai,3,text-embedding-3-small,0.5793381439000438,0.0738462587419399
gov-ai,3,text-embedding-ada-002,0.5867855422606212,0.06046927333953253
gov-ai,3,xlm-roberta-base,0.4995710540160563,-0.021176136824187404
gov-ai,3,xlm-roberta-large,0.554309810316735,0.02778914148793174
gov-ai,0,EmbeddingGemma-Scandi-300m,0.6650278626159041,0.18584297573607061
gov-ai,0,LaBSE,0.6078308683612084,0.09529484399902366
gov-ai,0,M2V_base_glove,0.5645653195083844,0.00028360748723766337
gov-ai,0,M2V_base_glove_subword,0.607739148203582,0.061764697149076946
gov-ai,0,M2V_base_output,0.5667029555525214,-0.008946717487686509
gov-ai,0,Qwen3-Embedding-0.6B,0.6770971457821284,0.22652938318988722
gov-ai,0,Qwen3-Embedding-Scandi-0.6B,0.6662767236965712,0.20176594583347154
gov-ai,0,bge-m3,0.6867733163287868,0.18710207619688213
gov-ai,0,dfm-sentence-encoder-large,0.5996092000312392,0.01665459249819996
gov-ai,0,m2v-dfm-large,0.6467639413354482,0.13018507616982783
gov-ai,0,mmBERTscandi-base-embedding,0.6431348204726481,0.16845878136200715
gov-ai,0,model2vecdk,0.4999999798828457,-0.033520095635483305
gov-ai,0,model2vecdk-stem,0.4999999798828457,-0.033520095635483305
gov-ai,0,multilingual-e5-base,0.569511316540777,0.021577155287054173
gov-ai,0,multilingual-e5-large,0.6096312280093114,0.09401860155894903
gov-ai,0,multilingual-e5-large-instruct,0.6336893030754943,0.09383802416679926
gov-ai,0,multilingual-e5-small,0.6255513179498242,0.08504398826979472
gov-ai,0,mxbai-embed-large-v1,0.5883110795946633,0.0368689733408962
gov-ai,0,nb-sbert-base,0.6570169070538587,0.13556264169113863
gov-ai,0,paraphrase-multilingual-MiniLM-L12-v2,0.6456123777035473,0.14152013613159387
gov-ai,0,paraphrase-multilingual-mpnet-base-v2,0.5996092000312392,0.01665459249819996
gov-ai,0,potion-base-2M,0.6200308900905886,0.0717690199113284
gov-ai,0,potion-base-4M,0.641731643166246,0.10292346381380026
gov-ai,0,potion-base-8M,0.641731643166246,0.10292346381380026
gov-ai,0,potion-multilingual-128M,0.5492819041982694,-0.07274044454741822
gov-ai,0,snowflake-arctic-embed-l-v2.0,0.6103616990971301,0.052113406642459906
gov-ai,0,static-similarity-mrl-multilingual-v1,0.5256538653619002,-0.009258065712313069
gov-ai,0,text-embedding-3-large,0.634884579096469,0.11708981671032853
gov-ai,0,text-embedding-3-small,0.6454778935474657,0.14322178105501987
gov-ai,0,text-embedding-ada-002,0.6634360254977076,0.18232732273514526
gov-ai,0,xlm-roberta-base,0.5644929580627076,0.007275866321371317
gov-ai,0,xlm-roberta-large,0.4721852323721589,-0.08277059617981863
gov-ai,17,EmbeddingGemma-Scandi-300m,0.602951133153142,0.12217396875154651
gov-ai,17,LaBSE,0.5334596411526094,-0.0014610336438701703
gov-ai,17,M2V_base_glove,0.46054714586102685,-0.031006388686576743
gov-ai,17,M2V_base_glove_subword,0.4623510402462448,-0.04455027850332737
gov-ai,17,M2V_base_output,0.5277359057472435,0.02421984148124793
gov-ai,17,Qwen3-Embedding-0.6B,0.5369691893020015,0.04510069775098326
gov-ai,17,Qwen3-Embedding-Scandi-0.6B,0.5549708781942976,0.07341223065679664
gov-ai,17,bge-m3,0.6257771884637967,0.1550298689145165
gov-ai,17,dfm-sentence-encoder-large,0.5486164467170109,0.03455739077532765
gov-ai,17,m2v-dfm-large,0.47309024552592693,-0.025599146933574086
gov-ai,17,mmBERTscandi-base-embedding,0.5416549291128228,0.04891646425075076
gov-ai,17,model2vecdk,0.5656996249692591,0.06392382010793149
gov-ai,17,model2vecdk-stem,0.5635224912332834,0.049285680607289356
gov-ai,17,multilingual-e5-base,0.6431865139418957,0.1783183462778643
gov-ai,17,multilingual-e5-large,0.5875637229857876,0.10044652614306732
gov-ai,17,multilingual-e5-large-instruct,0.6243318372992422,0.14824542428176585
