dataset,seed,model,v_measure,adjusted_rand_index
gov-ai,4,EmbeddingGemma-Scandi-300m,0.48299363070582224,-0.030980517406579366
gov-ai,4,LaBSE,0.5281575448361986,-0.014177122447110542
gov-ai,4,M2V_base_glove,0.3095096616305588,-0.037388960974149114
gov-ai,4,M2V_base_glove_subword,0.1519732563942119,-0.0024437201005119667
gov-ai,4,M2V_base_output,0.28523076679265835,-0.02359051724137931
gov-ai,4,Qwen3-Embedding-0.6B,0.5433399513866823,0.06604263751828635
gov-ai,4,Qwen3-Embedding-Scandi-0.6B,0.4254266311687576,0.023656524910214406
gov-ai,4,bge-m3,0.4031383273268049,0.023656524910214406
gov-ai,4,dfm-sentence-encoder-large,0.17339659903046284,0.01595079107925061
gov-ai,4,jaccard-binary,0.29296932287421695,-0.004256510696619764
gov-ai,4,m2v-dfm-large,0.13880699450250844,0.0036721944170308753
gov-ai,4,mmBERTscandi-base-embedding,0.5450596516616761,0.05664909341742215
gov-ai,4,model2vecdk,0.13291884355695624,0.01706749049278999
gov-ai,4,model2vecdk-stem,0.13291884355695624,0.01706749049278999
gov-ai,4,multilingual-e5-base,0.6068067498957286,0.04631101664798759
gov-ai,4,multilingual-e5-large,0.4942272115254229,0.047623328381070626
gov-ai,4,multilingual-e5-large-instruct,0.4141613886004567,0.008098328349867113
gov-ai,4,multilingual-e5-small,0.45886847944869613,-0.021224546819599305
gov-ai,4,mxbai-embed-large-v1,0.4773822518005675,0.08024841405779068
gov-ai,4,nb-sbert-base,0.38450010407231405,0.05147283667877839
gov-ai,4,paraphrase-multilingual-MiniLM-L12-v2,0.27855177268521636,0.0637654705909074
gov-ai,4,paraphrase-multilingual-mpnet-base-v2,0.5211124885935,0.06742688642597217
gov-ai,4,potion-base-2M,0.41315348080111913,-0.06422108086639981
gov-ai,4,potion-base-4M,0.49605649076121944,-0.0011047260796961215
gov-ai,4,potion-base-8M,0.6324771201949458,0.08516852755845955
gov-ai,4,potion-multilingual-128M,0.5057267414603532,-0.04091882862378445
gov-ai,4,snowflake-arctic-embed-l-v2.0,0.48052649915907053,0.015913629040586387
gov-ai,4,static-similarity-mrl-multilingual-v1,0.09739144358066106,-0.012339006647518583
gov-ai,4,text-embedding-3-large,0.11799467123743268,-0.012458447641012702
gov-ai,4,text-embedding-3-small,0.38212571197550227,0.03198384573166539
gov-ai,4,text-embedding-ada-002,0.48299363070582224,-0.030980517406579366
gov-ai,4,tfidf-char35,0.5523612204714948,0.08254461794869951
gov-ai,4,xlm-roberta-base,0.10111576516298235,-0.04535279929554997
gov-ai,4,xlm-roberta-large,0.17339659903046284,0.01595079107925061
gov-ai,16,EmbeddingGemma-Scandi-300m,0.7147799774046424,0.25547445255474455
gov-ai,16,LaBSE,0.6662239239173872,0.17914625612316304
gov-ai,16,M2V_base_glove,0.12083024517236743,0.005263157894736842
gov-ai,16,M2V_base_glove_subword,0.255112700576175,0.02968036529680365
gov-ai,16,M2V_base_output,0.527598219380673,0.11317876754118364
gov-ai,16,Qwen3-Embedding-0.6B,0.12083024517236743,0.005263157894736842
gov-ai,16,Qwen3-Embedding-Scandi-0.6B,0.5402346610072412,0.09090909090909091
gov-ai,16,bge-m3,0.22029806602648913,0.013876251137397634
gov-ai,16,dfm-sentence-encoder-large,0.6607210739285629,0.21365638766519823
gov-ai,16,jaccard-binary,0.1631576609543202,0.0005707762557077625
gov-ai,16,m2v-dfm-large,0.2435434155475942,0.01997716894977169
gov-ai,16,mmBERTscandi-base-embedding,0.4829078992661935,0.07873210633946831
gov-ai,16,model2vecdk,0.2435434155475942,0.01997716894977169
gov-ai,16,model2vecdk-stem,0.12083024517236743,0.005263157894736842
gov-ai,16,multilingual-e5-base,0.3545526616395145,0.03913043478260869
gov-ai,16,multilingual-e5-large,0.5039370008271196,0.07026205848841625
gov-ai,16,multilingual-e5-large-instruct,0.666196104155244,0.21365638766519823
gov-ai,16,multilingual-e5-small,0.6508065335304984,0.08860759493670886
gov-ai,16,mxbai-embed-large-v1,0.6047998592543055,0.15983971504897596
gov-ai,16,nb-sbert-base,0.5774492046823378,0.14195583596214512
gov-ai,16,paraphrase-multilingual-MiniLM-L12-v2,0.255112700576175,0.02968036529680365
gov-ai,16,paraphrase-multilingual-mpnet-base-v2,0.70285833302068,0.22727272727272727
gov-ai,16,potion-base-2M,0.2360303057308042,0.02968036529680365
gov-ai,16,potion-base-4M,0.4188150076640884,0.06331561140647655
gov-ai,16,potion-base-8M,0.4188150076640884,0.06331561140647655
gov-ai,16,potion-multilingual-128M,0.6981992214337488,0.21483554933519944
gov-ai,16,snowflake-arctic-embed-l-v2.0,0.3095351232142714,0.029726516052318668
gov-ai,16,static-similarity-mrl-multilingual-v1,0.36969126491442944,0.05360824742268041
